date,temperature,humidity,luminosity,pressure
2022-11-17 15:05:41.603,25.4,32.6,74,1013.9
2022-11-17 15:05:36.559,25.4,32.5,74,1013.9
2022-11-17 15:05:31.516,25.4,32.5,74,1013.9
2022-11-17 15:05:26.472,25.4,32.4,74,1013.8
2022-11-17 15:05:21.429,25.4,32.4,74,1013.9
2022-11-17 15:05:16.386,25.4,32.5,74,1013.9
2022-11-17 15:05:11.342,25.4,32.4,74,1013.8
2022-11-17 15:05:06.299,25.4,32.4,74,1013.8
2022-11-17 15:05:01.256,25.4,32.4,74,1013.9
2022-11-17 15:04:56.213,25.4,32.3,74,1013.9
2022-11-17 15:04:51.170,25.4,32.3,74,1013.8
2022-11-17 15:04:46.126,25.4,32.3,74,1013.8
2022-11-17 15:04:41.083,25.4,32.3,74,1013.9
2022-11-17 15:04:36.039,25.4,32.4,74,1013.9
2022-11-17 15:04:30.995,25.4,32.4,74,1013.8
2022-11-17 15:04:25.953,25.4,32.3,74,1013.8
2022-11-17 15:04:20.909,25.4,32.4,74,1013.9
2022-11-17 15:04:15.867,25.4,32.3,74,1013.9
2022-11-17 15:04:10.823,25.4,32.2,73,1013.8
2022-11-17 15:04:05.780,25.4,32.1,73,1013.9
2022-11-17 15:04:00.736,25.4,32.1,73,1013.8
2022-11-17 15:03:55.693,25.4,32.0,74,1013.9
2022-11-17 15:03:50.650,25.4,32.2,73,1013.8
2022-11-17 15:03:45.606,25.4,32.2,73,1013.8
2022-11-17 15:03:40.562,25.4,32.3,72,1013.9
2022-11-17 15:03:35.519,25.4,32.3,72,1013.8
2022-11-17 15:03:30.476,25.4,32.3,72,1013.8
2022-11-17 15:03:25.432,25.4,32.3,73,1013.9
2022-11-17 15:03:20.388,25.4,32.2,72,1013.8
2022-11-17 15:03:15.344,25.4,32.1,73,1013.8
2022-11-17 15:03:10.301,25.4,31.9,74,1013.8
2022-11-17 15:03:05.257,25.4,31.8,74,1013.9
2022-11-17 15:03:00.214,25.4,31.9,74,1013.9
2022-11-17 15:02:55.170,25.4,31.9,74,1013.8
2022-11-17 15:02:50.127,25.4,32.0,74,1013.8
2022-11-17 15:02:45.084,25.4,32.0,74,1013.8
2022-11-17 15:02:40.040,25.4,32.0,73,1013.8
2022-11-17 15:02:34.996,25.4,32.1,72,1013.8
2022-11-17 15:02:29.953,25.4,32.2,72,1013.9
2022-11-17 15:02:24.910,25.4,32.2,73,1013.9
2022-11-17 15:02:19.866,25.4,32.3,72,1013.9
2022-11-17 15:02:14.824,25.4,32.3,72,1013.9
2022-11-17 15:02:09.781,25.4,32.3,72,1013.8
2022-11-17 15:02:04.737,25.4,32.4,73,1013.8
2022-11-17 15:01:59.694,25.4,32.5,74,1013.8
2022-11-17 15:01:54.651,25.4,32.7,73,1013.9
